,SK_ID_CURR,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,OWN_CAR_AGE,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,ORGANIZATION_TYPE,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,APARTMENTS_AVG,BASEMENTAREA_AVG,YEARS_BEGINEXPLUATATION_AVG,YEARS_BUILD_AVG,COMMONAREA_AVG,ELEVATORS_AVG,ENTRANCES_AVG,FLOORSMAX_AVG,FLOORSMIN_AVG,LANDAREA_AVG,LIVINGAPARTMENTS_AVG,LIVINGAREA_AVG,NONLIVINGAPARTMENTS_AVG,NONLIVINGAREA_AVG,APARTMENTS_MODE,BASEMENTAREA_MODE,YEARS_BEGINEXPLUATATION_MODE,YEARS_BUILD_MODE,COMMONAREA_MODE,ELEVATORS_MODE,ENTRANCES_MODE,FLOORSMAX_MODE,FLOORSMIN_MODE,LANDAREA_MODE,LIVINGAPARTMENTS_MODE,LIVINGAREA_MODE,NONLIVINGAPARTMENTS_MODE,NONLIVINGAREA_MODE,APARTMENTS_MEDI,BASEMENTAREA_MEDI,YEARS_BEGINEXPLUATATION_MEDI,YEARS_BUILD_MEDI,COMMONAREA_MEDI,ELEVATORS_MEDI,ENTRANCES_MEDI,FLOORSMAX_MEDI,FLOORSMIN_MEDI,LANDAREA_MEDI,LIVINGAPARTMENTS_MEDI,LIVINGAREA_MEDI,NONLIVINGAPARTMENTS_MEDI,NONLIVINGAREA_MEDI,FONDKAPREMONT_MODE,HOUSETYPE_MODE,TOTALAREA_MODE,WALLSMATERIAL_MODE,EMERGENCYSTATE_MODE,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_2,FLAG_DOCUMENT_3,FLAG_DOCUMENT_4,FLAG_DOCUMENT_5,FLAG_DOCUMENT_6,FLAG_DOCUMENT_7,FLAG_DOCUMENT_8,FLAG_DOCUMENT_9,FLAG_DOCUMENT_10,FLAG_DOCUMENT_11,FLAG_DOCUMENT_12,FLAG_DOCUMENT_13,FLAG_DOCUMENT_14,FLAG_DOCUMENT_15,FLAG_DOCUMENT_16,FLAG_DOCUMENT_17,FLAG_DOCUMENT_18,FLAG_DOCUMENT_19,FLAG_DOCUMENT_20,FLAG_DOCUMENT_21,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR,DAYS_EMPLOYED_ANOM,CREDIT_INCOME_PERCENT,ANNUITY_INCOME_PERCENT,CREDIT_TERM,DAYS_EMPLOYED_PERCENT,CREDIT_INCOME_BY_AGE,ANNUITY_INCOME_BY_AGE,INCOME_TO_FAMILYSIZE
55,100426,0,F,1,1,0,157500.0,1125000.0,65313.0,1125000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.028663,-14901,-6438.0,-3513.0,-4258,8.0,1,1,0,1,0,1,Core staff,2.0,2,2,MONDAY,13,0,0,0,0,0,0,Kindergarten,0.5193296128757853,0.5684200435668831,0.4066174366275036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-1364.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,2.0,False,7.142857142857143,0.41468571428571427,0.058056,0.43205154016508956,-0.0004793542140028953,-2.7829388248152087e-05,78750.0
2947,120713,0,F,0,0,0,198000.0,675000.0,29862.0,675000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,0.025164,-14709,-1112.0,-8833.0,-4279,,1,1,1,1,0,0,Sales staff,2.0,2,2,MONDAY,16,0,0,0,0,0,0,Business Entity Type 3,,0.3424659494069498,0.4206109640437848,0.1485,0.0819999999999999,0.9806,0.7348,0.0529,0.16,0.1379,0.3333,0.375,0.1207,0.121,0.1525,0.0,0.0,0.1513,0.0851,0.9806,0.7452,0.0534,0.1611,0.1379,0.3333,0.375,0.1234,0.1322,0.1589,0.0,0.0,0.1499,0.0819999999999999,0.9806,0.7383,0.0532,0.16,0.1379,0.3333,0.375,0.1228,0.1231,0.1553,0.0,0.0,reg oper spec account,block of flats,0.1489,Panel,No,2.0,0.0,2.0,0.0,-1981.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0,False,3.409090909090909,0.15081818181818182,0.04424,0.07559997280576518,-0.00023176904678026442,-1.0253462629558897e-05,99000.0
3365,123574,0,F,0,0,1,135000.0,537322.5,42583.5,486000.0,Unaccompanied,Working,Higher education,Married,House / apartment,0.035792,-9682,-498.0,-180.0,-1105,,1,1,0,1,0,0,,3.0,2,2,THURSDAY,11,0,0,0,0,0,0,Self-employed,0.1586833232339392,0.6926274968152443,0.1974745115685422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-761.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,False,3.980166666666667,0.31543333333333334,0.07925128763452116,0.051435653790539146,-0.0004110893066170902,-3.2579356882186876e-05,45000.0
4170,129775,0,F,0,1,1,112500.0,270000.0,21024.0,270000.0,Family,Working,Higher education,Married,House / apartment,0.028663,-9992,-3367.0,-3725.0,-1024,,1,1,0,1,0,0,Laborers,3.0,2,2,SATURDAY,13,0,0,0,0,0,0,Postal,0.4618616250664668,0.6086457769370572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-334.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,False,2.4,0.18688,0.07786666666666667,0.33696957566052843,-0.00024019215372297838,-1.8702962369895917e-05,37500.0
4379,131366,0,M,1,1,0,76500.0,539100.0,27522.0,450000.0,Unaccompanied,Pensioner,Secondary / secondary special,Single / not married,House / apartment,0.072508,-21578,,-2753.0,-2794,11.0,1,0,0,1,1,0,,1.0,1,1,THURSDAY,11,0,0,0,0,0,0,XNA,,0.5376900997875038,,0.3897,0.2259,0.9836,0.7756,0.2043,0.48,0.2069,0.75,0.7917,0.0,0.3118,0.4723,0.027,0.0571,0.3971,0.2344,0.9836,0.7844,0.2062,0.4834,0.2069,0.75,0.7917,0.0,0.3407,0.4921,0.0272,0.0604,0.3935,0.2259,0.9836,0.7786,0.2056,0.48,0.2069,0.75,0.7917,0.0,0.3172,0.4808,0.0272,0.0583,reg oper account,block of flats,0.3839,Panel,No,0.0,0.0,0.0,0.0,-183.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,False,7.047058823529412,0.35976470588235293,0.051051752921535895,,-0.00032658535654506496,-1.667275493013036e-05,76500.0
6961,151004,0,F,0,0,0,360000.0,1575000.0,65128.5,1575000.0,Unaccompanied,Working,Higher education,Single / not married,Rented apartment,0.035792,-17312,-426.0,-1048.0,-845,,1,1,1,1,0,0,Private service staff,1.0,2,2,MONDAY,17,1,1,0,1,1,0,Business Entity Type 3,0.6664301757075333,0.6137020336387216,0.3556387169923543,0.0608,0.0261,0.9851,,,0.04,0.0345,0.3333,,0.0089,,0.0384,,0.0477,0.062,0.0271,0.9851,,,0.0403,0.0345,0.3333,,0.0091,,0.04,,0.0505,0.0614,0.0261,0.9851,,,0.04,0.0345,0.3333,,0.0091,,0.0391,,0.0487,,block of flats,0.0511,"Stone, brick",No,1.0,0.0,1.0,0.0,-2126.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,False,4.375,0.1809125,0.041351428571428574,0.02460720887245841,-0.0002527148798521257,-1.0450121303142329e-05,360000.0
7714,156538,0,F,0,1,0,54000.0,360000.0,28570.5,360000.0,Family,State servant,Secondary / secondary special,Married,House / apartment,0.002042,-14000,-653.0,-5962.0,-4562,,1,1,1,1,1,0,Core staff,2.0,3,3,TUESDAY,12,0,0,0,0,0,0,Postal,0.4448005714957621,0.4670460751589418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-490.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,False,6.666666666666667,0.5290833333333333,0.0793625,0.046642857142857146,-0.0004761904761904762,-3.7791666666666666e-05,27000.0
9522,169331,0,F,0,1,0,76500.0,229500.0,17289.0,229500.0,Unaccompanied,Working,Secondary / secondary special,Single / not married,House / apartment,0.026392,-22481,-1680.0,-1033.0,-4916,,1,1,0,1,0,1,Security staff,1.0,2,2,MONDAY,13,0,0,0,0,0,0,Business Entity Type 3,,0.7685659920353549,0.6195277080511546,0.1485,0.0963,0.9791,,,0.16,0.1379,0.3333,,0.111,,0.14,,0.0,0.1513,0.1,0.9791,,,0.1611,0.1379,0.3333,,0.1136,,0.1459,,0.0,0.1499,0.0963,0.9791,,,0.16,0.1379,0.3333,,0.113,,0.1426,,0.0,,block of flats,0.1102,Panel,No,0.0,0.0,0.0,0.0,-631.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,False,3.0,0.226,0.07533333333333334,0.07472977180730395,-0.00013344602108447134,-1.0052933588363507e-05,76500.0
10397,175515,0,F,1,1,0,47250.0,509400.0,32683.5,450000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.003813,-21061,-12803.0,-10438.0,-4335,17.0,1,1,1,1,1,0,Cleaning staff,2.0,2,2,THURSDAY,9,0,0,0,0,0,0,Agriculture,0.3616539941286739,0.4628029074208184,0.2940831009471255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-311.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2.0,0.0,False,10.780952380952382,0.6917142857142857,0.064160777385159,0.6079008594083851,-0.0005118917611201929,-3.284337333052969e-05,23625.0
11493,183463,0,F,0,0,1,225000.0,382050.0,30312.0,337500.0,Unaccompanied,State servant,Higher education,Single / not married,House / apartment,0.006852,-10311,-1026.0,-1623.0,-2487,,1,1,0,1,0,0,Core staff,2.0,3,3,SUNDAY,10,0,0,0,0,1,1,Government,,0.0884969871887922,0.3185955240537633,,,0.9776,,,0.0,0.1379,0.1667,,,,,,,,,0.9777,,,0.0,0.1379,0.1667,,,,,,,,,0.9776,,,0.0,0.1379,0.1667,,,,,,,,block of flats,0.0774,"Stone, brick",No,0.0,0.0,0.0,0.0,-164.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0,False,1.698,0.13472,0.07934040047114252,0.09950538260110561,-0.00016467849869071865,-1.3065658035108138e-05,112500.0
